,0,1,2,3
0,-450.0,3900.0,-25.0,0.0
1,-450.0,3925.0,-25.0,0.0
2,-450.0,3950.0,-25.0,0.0
3,-450.0,3975.0,-25.0,0.0
4,-450.0,4000.0,-25.0,0.0
5,-450.0,4025.0,-25.0,0.0
6,-450.0,4050.0,-25.0,0.0
7,-450.0,4075.0,-25.0,0.0
8,-450.0,4100.0,-25.0,0.0
9,-450.0,4125.0,-25.0,0.0
10,-450.0,4150.0,-25.0,0.0
11,-450.0,4175.0,-25.0,0.0
12,-450.0,4200.0,-25.0,0.0
13,-450.0,4225.0,-25.0,0.0
14,-450.0,4250.0,-25.0,0.0
15,-450.0,4275.0,-25.0,0.0
16,-450.0,4300.0,-25.0,0.0
17,-450.0,4325.0,-25.0,0.0
18,-450.0,4350.0,-25.0,0.0
19,-450.0,4375.0,-25.0,0.0
20,-450.0,4400.0,-25.0,0.0
21,-450.0,4425.0,-25.0,0.0
22,-450.0,4450.0,-25.0,0.0
23,-450.0,4475.0,-25.0,0.0
24,-450.0,4500.0,-25.0,0.0
25,-450.0,4525.0,-25.0,0.0
26,-450.0,4550.0,-25.0,0.0
27,-450.0,4575.0,-25.0,0.0
28,-450.0,4600.0,-25.0,0.0
29,-450.0,4625.0,-25.0,0.0
30,-450.0,4650.0,-25.0,0.0
31,-450.0,4675.0,-25.0,0.0
32,-450.0,4700.0,-25.0,0.0
33,-450.0,4725.0,-25.0,0.0
34,-450.0,4750.0,-25.0,0.0
35,-450.0,4775.0,-25.0,0.0
36,-450.0,4800.0,-25.0,0.0
37,-450.0,4825.0,-25.0,0.0
38,-450.0,4850.0,-25.0,0.0
39,-450.0,4875.0,-25.0,0.0
40,-450.0,4900.0,-25.0,0.0
41,-450.0,4925.0,-25.0,0.0
42,-450.0,4950.0,-25.0,0.0
43,-450.0,4975.0,-25.0,0.0
44,-450.0,5000.0,-25.0,0.0
45,-450.0,5025.0,-25.0,0.0
46,-450.0,5050.0,-25.0,0.0
47,-450.0,5075.0,-25.0,0.0
48,-450.0,5100.0,-25.0,0.0
49,-450.0,5125.0,-25.0,0.0
50,-450.0,5150.0,-25.0,0.0
51,-450.0,5175.0,-25.0,0.0
52,-450.0,5200.0,-25.0,0.0
53,-450.0,5225.0,-25.0,0.0
54,-450.0,5250.0,-25.0,0.0
55,-450.0,5275.0,-25.0,0.0
56,-450.0,5300.0,-25.0,0.0
57,-450.0,5325.0,-25.0,0.0
58,-425.0,3900.0,-25.0,0.0
59,-425.0,3925.0,-25.0,0.0
60,-425.0,3950.0,-25.0,0.0
61,-425.0,3975.0,-25.0,0.0
62,-425.0,4000.0,-25.0,0.0
63,-425.0,4025.0,-25.0,0.0
64,-425.0,4050.0,-25.0,0.0
65,-425.0,4075.0,-25.0,0.0
66,-425.0,4100.0,-25.0,0.0
67,-425.0,4125.0,-25.0,0.0
68,-425.0,4150.0,-25.0,0.0
69,-425.0,4175.0,-25.0,0.0
70,-425.0,4200.0,-25.0,0.0
71,-425.0,4225.0,-25.0,0.0
72,-425.0,4250.0,-25.0,0.0
73,-425.0,4275.0,-25.0,0.0
74,-425.0,4300.0,-25.0,0.0
75,-425.0,4325.0,-25.0,0.0
76,-425.0,4350.0,-25.0,0.0
77,-425.0,4375.0,-25.0,0.0
78,-425.0,4400.0,-25.0,0.0
79,-425.0,4425.0,-25.0,0.0
80,-425.0,4450.0,-25.0,0.0
81,-425.0,4475.0,-25.0,0.0
82,-425.0,4500.0,-25.0,0.0
83,-425.0,4525.0,-25.0,0.0
84,-425.0,4550.0,-25.0,0.0
85,-425.0,4575.0,-25.0,0.0
86,-425.0,4600.0,-25.0,0.0
87,-425.0,4625.0,-25.0,0.0
88,-425.0,4650.0,-25.0,0.0
89,-425.0,4675.0,-25.0,0.0
90,-425.0,4700.0,-25.0,0.0
91,-425.0,4725.0,-25.0,0.0
92,-425.0,4750.0,-25.0,0.0
93,-425.0,4775.0,-25.0,0.0
94,-425.0,4800.0,-25.0,0.0
95,-425.0,4825.0,-25.0,0.0
96,-425.0,4850.0,-25.0,0.0
97,-425.0,4875.0,-25.0,0.0
98,-425.0,4900.0,-25.0,0.0
99,-425.0,4925.0,-25.0,0.0
100,-425.0,4950.0,-25.0,0.0
101,-425.0,4975.0,-25.0,0.0
102,-425.0,5000.0,-25.0,0.0
103,-425.0,5025.0,-25.0,0.0
104,-425.0,5050.0,-25.0,0.0
105,-425.0,5075.0,-25.0,0.0
106,-425.0,5100.0,-25.0,0.0
107,-425.0,5125.0,-25.0,0.0
108,-425.0,5150.0,-25.0,0.0
109,-425.0,5175.0,-25.0,0.0
110,-425.0,5200.0,-25.0,0.0
111,-425.0,5225.0,-25.0,0.0
112,-425.0,5250.0,-25.0,0.0
113,-425.0,5275.0,-25.0,0.0
114,-425.0,5300.0,-25.0,0.0
115,-425.0,5325.0,-25.0,0.0
116,-400.0,3900.0,-25.0,0.0
117,-400.0,3925.0,-25.0,0.0
118,-400.0,3950.0,-25.0,0.0
119,-400.0,3975.0,-25.0,0.0
120,-400.0,4000.0,-25.0,0.0
121,-400.0,4025.0,-25.0,0.0
122,-400.0,4050.0,-25.0,0.0
123,-400.0,4075.0,-25.0,0.0
124,-400.0,4100.0,-25.0,0.0
125,-400.0,4125.0,-25.0,0.0
126,-400.0,4150.0,-25.0,0.0
127,-400.0,4175.0,-25.0,0.0
128,-400.0,4200.0,-25.0,0.0
129,-400.0,4225.0,-25.0,0.0
130,-400.0,4250.0,-25.0,0.0
131,-400.0,4275.0,-25.0,0.0
132,-400.0,4300.0,-25.0,0.0
133,-400.0,4325.0,-25.0,0.0
134,-400.0,4350.0,-25.0,0.0
135,-400.0,4375.0,-25.0,0.0
136,-400.0,4400.0,-25.0,0.0
137,-400.0,4425.0,-25.0,0.0
138,-400.0,4450.0,-25.0,0.0
139,-400.0,4475.0,-25.0,0.0
140,-400.0,4500.0,-25.0,0.0
141,-400.0,4525.0,-25.0,0.0
142,-400.0,4550.0,-25.0,0.0
143,-400.0,4575.0,-25.0,0.0
144,-400.0,4600.0,-25.0,0.0
145,-400.0,4625.0,-25.0,0.0
146,-400.0,4650.0,-25.0,0.0
147,-400.0,4675.0,-25.0,0.0
148,-400.0,4700.0,-25.0,0.0
149,-400.0,4725.0,-25.0,0.0
150,-400.0,4750.0,-25.0,0.0
151,-400.0,4775.0,-25.0,0.0
152,-400.0,4800.0,-25.0,0.0
153,-400.0,4825.0,-25.0,0.0
154,-400.0,4850.0,-25.0,0.0
155,-400.0,4875.0,-25.0,0.0
156,-400.0,4900.0,-25.0,0.0
157,-400.0,4925.0,-25.0,0.0
158,-400.0,4950.0,-25.0,0.0
159,-400.0,4975.0,-25.0,0.0
160,-400.0,5000.0,-25.0,0.0
161,-400.0,5025.0,-25.0,0.0
162,-400.0,5050.0,-25.0,0.0
163,-400.0,5075.0,-25.0,0.0
164,-400.0,5100.0,-25.0,0.0
165,-400.0,5125.0,-25.0,0.0
166,-400.0,5150.0,-25.0,0.0
167,-400.0,5175.0,-25.0,0.0
168,-400.0,5200.0,-25.0,0.0
169,-400.0,5225.0,-25.0,0.0
170,-400.0,5250.0,-25.0,0.0
171,-400.0,5275.0,-25.0,0.0
172,-400.0,5300.0,-25.0,0.0
173,-400.0,5325.0,-25.0,0.0
174,-375.0,3900.0,-25.0,0.0
175,-375.0,3925.0,-25.0,0.0
176,-375.0,3950.0,-25.0,0.0
177,-375.0,3975.0,-25.0,0.0
178,-375.0,4000.0,-25.0,0.0
179,-375.0,4025.0,-25.0,0.0
180,-375.0,4050.0,-25.0,0.0
181,-375.0,4075.0,-25.0,0.0
182,-375.0,4100.0,-25.0,0.0
183,-375.0,4125.0,-25.0,0.0
184,-375.0,4150.0,-25.0,0.0
185,-375.0,4175.0,-25.0,0.0
186,-375.0,4200.0,-25.0,0.0
187,-375.0,4225.0,-25.0,0.0
188,-375.0,4250.0,-25.0,0.0
189,-375.0,4275.0,-25.0,0.0
190,-375.0,4300.0,-25.0,0.0
191,-375.0,4325.0,-25.0,0.0
192,-375.0,4350.0,-25.0,0.0
193,-375.0,4375.0,-25.0,0.0
194,-375.0,4400.0,-25.0,0.0
195,-375.0,4425.0,-25.0,0.0
196,-375.0,4450.0,-25.0,0.0
197,-375.0,4475.0,-25.0,0.0
198,-375.0,4500.0,-25.0,0.0
199,-375.0,4525.0,-25.0,0.0
200,-375.0,4550.0,-25.0,0.0
201,-375.0,4575.0,-25.0,0.0
202,-375.0,4600.0,-25.0,0.0
203,-375.0,4625.0,-25.0,0.0
204,-375.0,4650.0,-25.0,0.0
205,-375.0,4675.0,-25.0,0.0
206,-375.0,4700.0,-25.0,0.0
207,-375.0,4725.0,-25.0,0.0
208,-375.0,4750.0,-25.0,0.0
209,-375.0,4775.0,-25.0,0.0
210,-375.0,4800.0,-25.0,0.0
211,-375.0,4825.0,-25.0,0.0
212,-375.0,4850.0,-25.0,0.0
213,-375.0,4875.0,-25.0,0.0
214,-375.0,4900.0,-25.0,0.0
215,-375.0,4925.0,-25.0,0.0
216,-375.0,4950.0,-25.0,0.0
217,-375.0,4975.0,-25.0,0.0
218,-375.0,5000.0,-25.0,0.0
219,-375.0,5025.0,-25.0,0.0
220,-375.0,5050.0,-25.0,0.0
221,-375.0,5075.0,-25.0,0.0
222,-375.0,5100.0,-25.0,0.0
223,-375.0,5125.0,-25.0,0.0
224,-375.0,5150.0,-25.0,0.0
225,-375.0,5175.0,-25.0,0.0
226,-375.0,5200.0,-25.0,0.0
227,-375.0,5225.0,-25.0,0.0
228,-375.0,5250.0,-25.0,0.0
229,-375.0,5275.0,-25.0,0.0
230,-375.0,5300.0,-25.0,0.0
231,-375.0,5325.0,-25.0,0.0
232,-350.0,3900.0,-25.0,0.0
233,-350.0,3925.0,-25.0,0.0
234,-350.0,3950.0,-25.0,0.0
235,-350.0,3975.0,-25.0,0.0
236,-350.0,4000.0,-25.0,0.0
237,-350.0,4025.0,-25.0,0.0
238,-350.0,4050.0,-25.0,0.0
239,-350.0,4075.0,-25.0,0.0
240,-350.0,4100.0,-25.0,0.0
241,-350.0,4125.0,-25.0,0.0
242,-350.0,4150.0,-25.0,0.0
243,-350.0,4175.0,-25.0,0.0
244,-350.0,4200.0,-25.0,0.0
245,-350.0,4225.0,-25.0,0.0
246,-350.0,4250.0,-25.0,0.0
247,-350.0,4275.0,-25.0,0.0
248,-350.0,4300.0,-25.0,0.0
249,-350.0,4325.0,-25.0,0.0
250,-350.0,4350.0,-25.0,0.0
251,-350.0,4375.0,-25.0,0.0
252,-350.0,4400.0,-25.0,0.0
253,-350.0,4425.0,-25.0,0.0
254,-350.0,4450.0,-25.0,0.0
255,-350.0,4475.0,-25.0,0.0
256,-350.0,4500.0,-25.0,0.0
257,-350.0,4525.0,-25.0,0.0
258,-350.0,4550.0,-25.0,0.0
259,-350.0,4575.0,-25.0,0.0
260,-350.0,4600.0,-25.0,0.0
261,-350.0,4625.0,-25.0,0.0
262,-350.0,4650.0,-25.0,0.0
263,-350.0,4675.0,-25.0,0.0
264,-350.0,4700.0,-25.0,0.0
265,-350.0,4725.0,-25.0,0.0
266,-350.0,4750.0,-25.0,0.0
267,-350.0,4775.0,-25.0,0.0
268,-350.0,4800.0,-25.0,0.0
269,-350.0,4825.0,-25.0,0.0
270,-350.0,4850.0,-25.0,0.0
271,-350.0,4875.0,-25.0,0.0
272,-350.0,4900.0,-25.0,0.0
273,-350.0,4925.0,-25.0,0.0
274,-350.0,4950.0,-25.0,0.0
275,-350.0,4975.0,-25.0,0.0
276,-350.0,5000.0,-25.0,0.0
277,-350.0,5025.0,-25.0,0.0
278,-350.0,5050.0,-25.0,0.0
279,-350.0,5075.0,-25.0,0.0
280,-350.0,5100.0,-25.0,0.0
281,-350.0,5125.0,-25.0,0.0
282,-350.0,5150.0,-25.0,0.0
283,-350.0,5175.0,-25.0,0.0
284,-350.0,5200.0,-25.0,0.0
285,-350.0,5225.0,-25.0,0.0
286,-350.0,5250.0,-25.0,0.0
287,-350.0,5275.0,-25.0,0.0
288,-350.0,5300.0,-25.0,0.0
289,-350.0,5325.0,-25.0,0.0
290,-325.0,3900.0,-25.0,0.0
291,-325.0,3925.0,-25.0,0.0
292,-325.0,3950.0,-25.0,0.0
293,-325.0,3975.0,-25.0,0.0
294,-325.0,4000.0,-25.0,0.0
295,-325.0,4025.0,-25.0,0.0
296,-325.0,4050.0,-25.0,0.0
297,-325.0,4075.0,-25.0,0.0
298,-325.0,4100.0,-25.0,0.0
299,-325.0,4125.0,-25.0,0.0
300,-325.0,4150.0,-25.0,0.0
301,-325.0,4175.0,-25.0,0.0
302,-325.0,4200.0,-25.0,0.0
303,-325.0,4225.0,-25.0,0.0
304,-325.0,4250.0,-25.0,0.0
305,-325.0,4275.0,-25.0,0.0
306,-325.0,4300.0,-25.0,0.0
307,-325.0,4325.0,-25.0,0.0
308,-325.0,4350.0,-25.0,0.0
309,-325.0,4375.0,-25.0,0.0
310,-325.0,4400.0,-25.0,0.0
311,-325.0,4425.0,-25.0,0.0
312,-325.0,4450.0,-25.0,0.0
313,-325.0,4475.0,-25.0,0.0
314,-325.0,4500.0,-25.0,0.0
315,-325.0,4525.0,-25.0,0.0
316,-325.0,4550.0,-25.0,0.0
317,-325.0,4575.0,-25.0,0.0
318,-325.0,4600.0,-25.0,0.0
319,-325.0,4625.0,-25.0,0.0
320,-325.0,4650.0,-25.0,0.0
321,-325.0,4675.0,-25.0,0.0
322,-325.0,4700.0,-25.0,0.0
323,-325.0,4725.0,-25.0,0.0
324,-325.0,4750.0,-25.0,0.0
325,-325.0,4775.0,-25.0,0.0
326,-325.0,4800.0,-25.0,0.0
327,-325.0,4825.0,-25.0,0.0
328,-325.0,4850.0,-25.0,0.0
329,-325.0,4875.0,-25.0,0.0
330,-325.0,4900.0,-25.0,0.0
331,-325.0,4925.0,-25.0,0.0
332,-325.0,4950.0,-25.0,0.0
333,-325.0,4975.0,-25.0,0.0
334,-325.0,5000.0,-25.0,0.0
335,-325.0,5025.0,-25.0,0.0
336,-325.0,5050.0,-25.0,0.0
337,-325.0,5075.0,-25.0,0.0
338,-325.0,5100.0,-25.0,0.0
339,-325.0,5125.0,-25.0,0.0
340,-325.0,5150.0,-25.0,0.0
341,-325.0,5175.0,-25.0,0.0
342,-325.0,5200.0,-25.0,0.0
343,-325.0,5225.0,-25.0,0.0
344,-325.0,5250.0,-25.0,0.0
345,-325.0,5275.0,-25.0,0.0
346,-325.0,5300.0,-25.0,0.0
347,-325.0,5325.0,-25.0,0.0
348,-300.0,3900.0,-25.0,0.0
349,-300.0,3925.0,-25.0,0.0
350,-300.0,3950.0,-25.0,0.0
351,-300.0,3975.0,-25.0,0.0
352,-300.0,4000.0,-25.0,0.0
353,-300.0,4025.0,-25.0,0.0
354,-300.0,4050.0,-25.0,0.0
355,-300.0,4075.0,-25.0,0.0
356,-300.0,4100.0,-25.0,0.0
357,-300.0,4125.0,-25.0,0.0
358,-300.0,4150.0,-25.0,0.0
359,-300.0,4175.0,-25.0,0.0
360,-300.0,4200.0,-25.0,0.0
361,-300.0,4225.0,-25.0,0.0
362,-300.0,4250.0,-25.0,0.0
363,-300.0,4275.0,-25.0,0.0
364,-300.0,4300.0,-25.0,0.0
365,-300.0,4325.0,-25.0,0.0
366,-300.0,4350.0,-25.0,0.0
367,-300.0,4375.0,-25.0,0.0
368,-300.0,4400.0,-25.0,0.0
369,-300.0,4425.0,-25.0,0.0
370,-300.0,4450.0,-25.0,0.0
371,-300.0,4475.0,-25.0,0.0
372,-300.0,4500.0,-25.0,0.0
373,-300.0,4525.0,-25.0,0.0
374,-300.0,4550.0,-25.0,0.0
375,-300.0,4575.0,-25.0,0.0
376,-300.0,4600.0,-25.0,0.0
377,-300.0,4625.0,-25.0,0.0
378,-300.0,4650.0,-25.0,0.0
379,-300.0,4675.0,-25.0,0.0
380,-300.0,4700.0,-25.0,0.0
381,-300.0,4725.0,-25.0,0.0
382,-300.0,4750.0,-25.0,0.0
383,-300.0,4775.0,-25.0,0.0
384,-300.0,4800.0,-25.0,0.0
385,-300.0,4825.0,-25.0,0.0
386,-300.0,4850.0,-25.0,0.0
387,-300.0,4875.0,-25.0,0.0
388,-300.0,4900.0,-25.0,0.0
389,-300.0,4925.0,-25.0,0.0
390,-300.0,4950.0,-25.0,0.0
391,-300.0,4975.0,-25.0,0.0
392,-300.0,5000.0,-25.0,0.0
393,-300.0,5025.0,-25.0,0.0
394,-300.0,5050.0,-25.0,0.0
395,-300.0,5075.0,-25.0,0.0
396,-300.0,5100.0,-25.0,0.0
397,-300.0,5125.0,-25.0,0.0
398,-300.0,5150.0,-25.0,0.0
399,-300.0,5175.0,-25.0,0.0
400,-300.0,5200.0,-25.0,0.0
401,-300.0,5225.0,-25.0,0.0
402,-300.0,5250.0,-25.0,0.0
403,-300.0,5275.0,-25.0,0.0
404,-300.0,5300.0,-25.0,0.0
405,-300.0,5325.0,-25.0,0.0
406,-275.0,3900.0,-25.0,0.0
407,-275.0,3925.0,-25.0,0.0
408,-275.0,3950.0,-25.0,0.0
409,-275.0,3975.0,-25.0,0.0
410,-275.0,4000.0,-25.0,0.0
411,-275.0,4025.0,-25.0,0.0
412,-275.0,4050.0,-25.0,0.0
413,-275.0,4075.0,-25.0,0.0
414,-275.0,4100.0,-25.0,0.0
415,-275.0,4125.0,-25.0,0.0
416,-275.0,4150.0,-25.0,0.0
417,-275.0,4175.0,-25.0,0.0
418,-275.0,4200.0,-25.0,0.0
419,-275.0,4225.0,-25.0,0.0
420,-275.0,4250.0,-25.0,0.0
421,-275.0,4275.0,-25.0,0.0
422,-275.0,4300.0,-25.0,0.0
423,-275.0,4325.0,-25.0,0.0
424,-275.0,4350.0,-25.0,0.0
425,-275.0,4375.0,-25.0,0.0
426,-275.0,4400.0,-25.0,0.0
427,-275.0,4425.0,-25.0,0.0
428,-275.0,4450.0,-25.0,0.0
429,-275.0,4475.0,-25.0,0.0
430,-275.0,4500.0,-25.0,0.0
431,-275.0,4525.0,-25.0,0.0
432,-275.0,4550.0,-25.0,0.0
433,-275.0,4575.0,-25.0,0.0
434,-275.0,4600.0,-25.0,0.0
435,-275.0,4625.0,-25.0,0.0
436,-275.0,4650.0,-25.0,0.0
437,-275.0,4675.0,-25.0,0.0
438,-275.0,4700.0,-25.0,0.0
439,-275.0,4725.0,-25.0,0.0
440,-275.0,4750.0,-25.0,0.0
441,-275.0,4775.0,-25.0,0.0
442,-275.0,4800.0,-25.0,0.0
443,-275.0,4825.0,-25.0,0.0
444,-275.0,4850.0,-25.0,0.0
445,-275.0,4875.0,-25.0,0.0
446,-275.0,4900.0,-25.0,0.0
447,-275.0,4925.0,-25.0,0.0
448,-275.0,4950.0,-25.0,0.0
449,-275.0,4975.0,-25.0,0.0
450,-275.0,5000.0,-25.0,0.0
451,-275.0,5025.0,-25.0,0.0
452,-275.0,5050.0,-25.0,0.0
453,-275.0,5075.0,-25.0,0.0
454,-275.0,5100.0,-25.0,0.0
455,-275.0,5125.0,-25.0,0.0
456,-275.0,5150.0,-25.0,0.0
457,-275.0,5175.0,-25.0,0.0
458,-275.0,5200.0,-25.0,0.0
459,-275.0,5225.0,-25.0,0.0
460,-275.0,5250.0,-25.0,0.0
461,-275.0,5275.0,-25.0,0.0
462,-275.0,5300.0,-25.0,0.0
463,-275.0,5325.0,-25.0,0.0
464,-250.0,3900.0,-25.0,0.0
465,-250.0,3925.0,-25.0,0.0
466,-250.0,3950.0,-25.0,0.0
467,-250.0,3975.0,-25.0,0.0
468,-250.0,4000.0,-25.0,0.0
469,-250.0,4025.0,-25.0,0.0
470,-250.0,4050.0,-25.0,0.0
471,-250.0,4075.0,-25.0,0.0
472,-250.0,4100.0,-25.0,0.0
473,-250.0,4125.0,-25.0,0.0
474,-250.0,4150.0,-25.0,0.0
475,-250.0,4175.0,-25.0,0.0
476,-250.0,4200.0,-25.0,0.0
477,-250.0,4225.0,-25.0,0.0
478,-250.0,4250.0,-25.0,0.0
479,-250.0,4275.0,-25.0,0.0
480,-250.0,4300.0,-25.0,0.0
481,-250.0,4325.0,-25.0,0.0
482,-250.0,4350.0,-25.0,0.0
483,-250.0,4375.0,-25.0,0.0
484,-250.0,4400.0,-25.0,0.0
485,-250.0,4425.0,-25.0,0.0
486,-250.0,4450.0,-25.0,0.0
487,-250.0,4475.0,-25.0,0.0
488,-250.0,4500.0,-25.0,0.0
489,-250.0,4525.0,-25.0,0.0
490,-250.0,4550.0,-25.0,0.0
491,-250.0,4575.0,-25.0,0.0
492,-250.0,4600.0,-25.0,0.0
493,-250.0,4625.0,-25.0,0.0
494,-250.0,4650.0,-25.0,0.0
495,-250.0,4675.0,-25.0,0.0
496,-250.0,4700.0,-25.0,0.0
497,-250.0,4725.0,-25.0,0.0
498,-250.0,4750.0,-25.0,0.0
499,-250.0,4775.0,-25.0,0.0
500,-250.0,4800.0,-25.0,0.0
501,-250.0,4825.0,-25.0,0.0
502,-250.0,4850.0,-25.0,0.0
503,-250.0,4875.0,-25.0,0.0
504,-250.0,4900.0,-25.0,0.0
505,-250.0,4925.0,-25.0,0.0
506,-250.0,4950.0,-25.0,0.0
507,-250.0,4975.0,-25.0,0.0
508,-250.0,5000.0,-25.0,0.0
509,-250.0,5025.0,-25.0,0.0
510,-250.0,5050.0,-25.0,0.0
511,-250.0,5075.0,-25.0,0.0
512,-250.0,5100.0,-25.0,0.0
513,-250.0,5125.0,-25.0,0.0
514,-250.0,5150.0,-25.0,0.0
515,-250.0,5175.0,-25.0,0.0
516,-250.0,5200.0,-25.0,0.0
517,-250.0,5225.0,-25.0,0.0
518,-250.0,5250.0,-25.0,0.0
519,-250.0,5275.0,-25.0,0.0
520,-250.0,5300.0,-25.0,0.0
521,-250.0,5325.0,-25.0,0.0
522,-225.0,3900.0,-25.0,0.0
523,-225.0,3925.0,-25.0,0.0
524,-225.0,3950.0,-25.0,0.0
525,-225.0,3975.0,-25.0,0.0
526,-225.0,4000.0,-25.0,0.0
527,-225.0,4025.0,-25.0,0.0
528,-225.0,4050.0,-25.0,0.0
529,-225.0,4075.0,-25.0,0.0
530,-225.0,4100.0,-25.0,0.0
531,-225.0,4125.0,-25.0,0.0
532,-225.0,4150.0,-25.0,0.0
533,-225.0,4175.0,-25.0,0.0
534,-225.0,4200.0,-25.0,0.0
535,-225.0,4225.0,-25.0,0.0
536,-225.0,4250.0,-25.0,0.0
537,-225.0,4275.0,-25.0,0.0
538,-225.0,4300.0,-25.0,0.0
539,-225.0,4325.0,-25.0,0.0
540,-225.0,4350.0,-25.0,0.0
541,-225.0,4375.0,-25.0,0.0
542,-225.0,4400.0,-25.0,0.0
543,-225.0,4425.0,-25.0,0.0
544,-225.0,4450.0,-25.0,0.0
545,-225.0,4475.0,-25.0,0.0
546,-225.0,4500.0,-25.0,0.0
547,-225.0,4525.0,-25.0,0.0
548,-225.0,4550.0,-25.0,0.0
549,-225.0,4575.0,-25.0,0.0
550,-225.0,4600.0,-25.0,0.0
551,-225.0,4625.0,-25.0,0.0
552,-225.0,4650.0,-25.0,0.0
553,-225.0,4675.0,-25.0,0.0
554,-225.0,4700.0,-25.0,0.0
555,-225.0,4725.0,-25.0,0.0
556,-225.0,4750.0,-25.0,0.0
557,-225.0,4775.0,-25.0,0.0
558,-225.0,4800.0,-25.0,0.0
559,-225.0,4825.0,-25.0,0.0
560,-225.0,4850.0,-25.0,0.0
561,-225.0,4875.0,-25.0,0.0
562,-225.0,4900.0,-25.0,0.0
563,-225.0,4925.0,-25.0,0.0
564,-225.0,4950.0,-25.0,0.0
565,-225.0,4975.0,-25.0,0.0
566,-225.0,5000.0,-25.0,0.0
567,-225.0,5025.0,-25.0,0.0
568,-225.0,5050.0,-25.0,0.0
569,-225.0,5075.0,-25.0,0.0
570,-225.0,5100.0,-25.0,0.0
571,-225.0,5125.0,-25.0,0.0
572,-225.0,5150.0,-25.0,0.0
573,-225.0,5175.0,-25.0,0.0
574,-225.0,5200.0,-25.0,0.0
575,-225.0,5225.0,-25.0,0.0
576,-225.0,5250.0,-25.0,0.0
577,-225.0,5275.0,-25.0,0.0
578,-225.0,5300.0,-25.0,0.0
579,-225.0,5325.0,-25.0,0.0
580,-200.0,3900.0,-25.0,0.0
581,-200.0,3925.0,-25.0,0.0
582,-200.0,3950.0,-25.0,0.0
583,-200.0,3975.0,-25.0,0.0
584,-200.0,4000.0,-25.0,0.0
585,-200.0,4025.0,-25.0,0.0
586,-200.0,4050.0,-25.0,0.0
587,-200.0,4075.0,-25.0,0.0
588,-200.0,4100.0,-25.0,0.0
589,-200.0,4125.0,-25.0,0.0
590,-200.0,4150.0,-25.0,0.0
591,-200.0,4175.0,-25.0,0.0
592,-200.0,4200.0,-25.0,0.0
593,-200.0,4225.0,-25.0,0.0
594,-200.0,4250.0,-25.0,0.0
595,-200.0,4275.0,-25.0,0.0
596,-200.0,4300.0,-25.0,0.0
597,-200.0,4325.0,-25.0,0.0
598,-200.0,4350.0,-25.0,0.0
599,-200.0,4375.0,-25.0,0.0
600,-200.0,4400.0,-25.0,0.0
601,-200.0,4425.0,-25.0,0.0
602,-200.0,4450.0,-25.0,0.0
603,-200.0,4475.0,-25.0,0.0
604,-200.0,4500.0,-25.0,0.0
605,-200.0,4525.0,-25.0,0.0
606,-200.0,4550.0,-25.0,0.0
607,-200.0,4575.0,-25.0,0.0
608,-200.0,4600.0,-25.0,0.0
609,-200.0,4625.0,-25.0,0.0
610,-200.0,4650.0,-25.0,0.0
611,-200.0,4675.0,-25.0,0.0
612,-200.0,4700.0,-25.0,0.0
613,-200.0,4725.0,-25.0,0.0
614,-200.0,4750.0,-25.0,0.0
615,-200.0,4775.0,-25.0,0.0
616,-200.0,4800.0,-25.0,0.0
617,-200.0,4825.0,-25.0,0.0
618,-200.0,4850.0,-25.0,0.0
619,-200.0,4875.0,-25.0,0.0
620,-200.0,4900.0,-25.0,0.0
621,-200.0,4925.0,-25.0,0.0
622,-200.0,4950.0,-25.0,0.0
623,-200.0,4975.0,-25.0,0.0
624,-200.0,5000.0,-25.0,0.0
625,-200.0,5025.0,-25.0,0.0
